District ID,City ID,Name
242,16,SAMPOINIET
243,16,DARUL HIKMAH
244,16,JAYA
245,16,INDRA JAYA
246,17,TIMANG GAJAH
247,17,GAJAH PUTIH
248,17,PINTU RIME GAYO
249,17,BUKIT
250,17,WIH PESAM
251,17,BANDAR
252,17,BENER KELIPAH
253,17,SYIAH UTAMA
254,17,MESIDAH
255,17,PERMATA
256,18,MEUREUDU
257,18,MEURAH DUA
258,18,BANDAR DUA
259,18,JANGKA BUAYA
260,18,ULIM
261,18,TRIENGGADENG
262,18,PANTERAJA
263,18,BANDAR BARU
264,19,MEURAXA
265,19,JAYA BARU
266,19,BANDA RAYA
267,19,BAITURRAHMAN
268,19,LUENG BATA
269,19,KUTA ALAM
270,19,KUTA RAJA
271,19,SYIAH KUALA
272,19,ULEE KARENG
273,20,SUKAJAYA
274,20,SUKAKARYA
275,21,LANGSA TIMUR
276,21,LANGSA LAMA
277,21,LANGSA BARAT
278,21,LANGSA BARO
279,21,LANGSA KOTA
280,22,BLANG MANGAT
281,22,MUARA DUA
282,22,MUARA SATU
283,22,BANDA SAKTI
284,23,SIMPANG KIRI
285,23,PENANGGALAN
286,23,RUNDENG
287,23,SULTAN DAULAT
288,23,LONGKIB
289,24,IDANOGAWO
290,24,BAWOLATO
291,24,ULUGAWO
292,24,GIDO
293,24,SOGAE'ADU
294,24,MA'U
295,24,SOMOLO-MOLO
296,24,HILIDUHO
297,24,HILISERANGKAI
298,24,BOTOMUZOI
299,25,BATAHAN
300,25,SINUNUKAN
301,25,BATANG NATAL
302,25,LINGGA BAYU
303,25,RANTO BAEK
304,25,KOTANOPAN
305,25,ULU PUNGKUT
306,25,TAMBANGAN
307,25,LEMBAH SORIK MARAPI
308,25,PUNCAK SORIK MARAPI
309,25,MUARA SIPONGI
310,25,PAKANTAN
311,25,PANYABUNGAN
312,25,PANYABUNGAN SELATAN
313,25,PANYABUNGAN BARAT
314,25,PANYABUNGAN UTARA
315,25,PANYABUNGAN TIMUR
316,25,HUTA BARGOT
317,25,NATAL
318,25,MUARA BATANG GADIS
319,25,SIABU
320,25,BUKIT MALINTANG
321,25,NAGA JUANG
322,26,BATANG ANGKOLA
323,26,SAYUR MATINGGI
324,26,TANO TOMBANGAN
325,26,ANGKOLA MUARA TAIS
326,26,ANGKOLA TIMUR
327,26,ANGKOLA SELATAN
328,26,ANGKOLA BARAT
329,26,ANGKOLA SANGKUNUR
330,26,BATANG TORU
331,26,MARANCAR
332,26,MUARA BATANG TORU
333,26,SIPIROK
334,26,ARSE
335,26,SAIPAR DOLOK HOLE
336,26,AEK BILAH
337,27,PINANGSORI
338,27,BADIRI
339,27,SIBABANGUN
340,27,LUMUT
341,27,SUKA BANGUN
342,27,PANDAN
343,27,TUKKA
344,27,SARUDIK
345,27,TAPIAN NAULI
346,27,SITAHUIS
347,27,KOLANG
348,27,SORKAM
349,27,SORKAM BARAT
350,27,PASARIBU TOBING
351,27,BARUS
352,27,SOSORGADONG
353,27,ANDAM DEWI
354,27,BARUS UTARA
355,27,MANDUAMAS
356,27,SIRANDORUNG
357,28,PARMONANGAN
358,28,ADIAN KOTING
359,28,SIPOHOLON
360,28,TARUTUNG
361,28,SIATAS BARITA
362,28,PAHAE JULU
363,28,PAHAE JAE
364,28,PURBA TUA
365,28,SIMANGUMBAN
366,28,PANGARIBUAN
367,28,GAROGA
368,28,SIPAHUTAR
369,28,SIBORONG-BORONG
370,28,PAGARAN
371,28,MUARA
372,29,BALIGE
373,29,TAMPAHAN
374,29,LAGUBOTI
375,29,HABINSARAN
376,29,BORBOR
377,29,NASSAU
378,29,SILAEN
379,29,SIGUMPAR
380,29,PORSEA
381,29,PINTU POHAN MERANTI
